question_id,label
483453014,7
277145006,1
22427001,4
131909008,7
525529001,3
416440000,2
524866016,9
272026021,3
536146000,6
148291001,2
6182000,1
541450000,6
533551004,8
3219002,7
282158044,8
149763007,5
269051023,8
144000,1
14801010,0
145179001,1
524905006,5
271890003,9
532358004,9
133315015,8
15552001,9
411815002,8
12916000,4
131909030,6
404592001,3
135163006,4
217899000,8
139416029,1
1900002,0
5740001,0
533800006,9
404005005,4
546517001,9
266990003,6
402170007,7
131909000,6
398850003,6
416684000,1
139336001,7
197689003,6
530898000,6
534892001,7
146098007,9
16827006,4
270636001,7
535278006,2
459339006,9
526522002,9
547284002,7
528060002,8
541893002,6
404361001,3
353098040,7
536626006,8
141862038,1
279182034,9
400199007,1
8043002,2
4642005,3
273979000,9
10784005,7
136111001,3
533803007,1
412198003,5
156258001,3
131087000,0
706000,8
536935000,3
264158004,6
145155001,3
149179007,9
282209002,3
308752004,2
145062000,8
403459000,7
7420011,2
149202003,2
10407002,6
12472002,7
412445005,4
19838001,4
264353001,5
151408005,7
1518004,6
139042007,7
44580000,4
533451004,1
371939000,0
88875001,9
267266005,5
209809000,3
530286006,3
436017,1
531201003,2
1497002,8
400599002,4
11996002,0
409909000,5
408479000,1
263278001,0
267770002,6
140284005,4
14402002,9
530690001,7
528471000,0
539556000,5
